episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
501, 2487.5363943725824, 1, 3.7595767229995545, 30, 136553,                                             136553, 20.220855712890625, 208.13510131835938
502, 2152.9415779709816, 1, 21.54269734100035, 215, 136768,                                             136768, 19.8088321685791, 210.44454956054688
503, -3182.2341576218605, 3, 20.207175475999975, 203, 136971,                                             136971, 19.19182014465332, 209.79693603515625
504, 2153.7404972314835, 1, 14.676881576999676, 151, 137122,                                             137122, 19.968053817749023, 210.0041961669922
505, 1733.3880055248737, 1, 28.278679740999905, 278, 137400,                                             137400, 20.01166343688965, 209.7664031982422
506, 762.2906202971935, 1, 31.54326698099976, 314, 137714,                                             137714, 20.19432830810547, 210.0080108642578
507, 2096.3683926463127, 1, 33.92841814299982, 331, 138045,                                             138045, 19.085575103759766, 210.55093383789062
508, 363.7327007353306, 1, 49.085574721000285, 498, 138543,                                             138543, 19.88486671447754, 211.13075256347656
509, 2193.7727973759174, 1, 19.434670773000107, 176, 138719,                                             138719, 19.269424438476562, 208.44395446777344
510, 2210.548193514347, 1, 13.424687618000007, 132, 138851,                                             138851, 19.676448822021484, 209.63653564453125
511, 2046.948158055544, 1, 25.38195890499992, 231, 139082,                                             139082, 19.343442916870117, 208.17935180664062
512, -3256.3756831884384, 3, 32.36847638399968, 307, 139389,                                             139389, 20.422435760498047, 209.4763946533203
513, -2463.7018342018127, 3, 13.88227275700001, 118, 139507,                                             139507, 19.207035064697266, 209.75347900390625
514, 2215.945226252079, 1, 14.13695855700007, 118, 139625,                                             139625, 18.968364715576172, 209.99993896484375
515, 2045.8736670017242, 1, 20.141747232999933, 151, 139776,                                             139776, 19.79008674621582, 210.25852966308594
516, 1953.1675800085068, 1, 17.096487758999956, 136, 139912,                                             139912, 22.4407958984375, 208.9034423828125
517, 2018.9844940900803, 1, 18.811210887000016, 156, 140068,                                             140068, 20.259693145751953, 207.2790985107422
518, 2251.8586570322514, 1, 24.958793411999977, 205, 140273,                                             140273, 21.249441146850586, 207.2476043701172
519, 2000.423845410347, 1, 34.94238752599995, 334, 140607,                                             140607, 20.624116897583008, 208.72779846191406
520, 1994.0907022207975, 1, 36.15508547899981, 367, 140974,                                             140974, 20.5102596282959, 208.43272399902344
521, 2135.6861131489277, 1, 23.664645989999826, 237, 141211,                                             141211, 19.10964012145996, 207.53549194335938
522, 1646.5408355742693, 1, 54.89963103299988, 499, 141710,                                             141710, 20.372507095336914, 208.1159210205078
523, 1413.40965372324, 1, 47.643971190999764, 413, 142123,                                             142123, 19.468591690063477, 206.97854614257812
524, 2263.6745970845222, 1, 13.285500623000189, 124, 142247,                                             142247, 19.807138442993164, 209.7865447998047
525, 2229.723841816187, 1, 25.071390625000276, 170, 142417,                                             142417, 22.331613540649414, 209.6237335205078
526, 1997.3192353397608, 1, 47.44827589799979, 303, 142720,                                             142720, 20.254270553588867, 206.1856231689453
527, 1473.753555715084, 1, 67.56366923899986, 428, 143148,                                             143148, 20.362947463989258, 207.3221435546875
528, 2250.154011785984, 1, 15.919443565000165, 137, 143285,                                             143285, 19.747522354125977, 204.9937744140625
529, 2055.688202381134, 1, 19.31176673500022, 156, 143441,                                             143441, 19.92563247680664, 205.2970428466797
530, 2030.1511972248554, 1, 30.3460230390001, 286, 143727,                                             143727, 18.553524017333984, 206.74240112304688
531, 2107.9061634242535, 1, 25.25877710900022, 242, 143969,                                             143969, 21.455778121948242, 206.9905548095703
532, 1909.6017357707024, 1, 21.39695079000012, 218, 144187,                                             144187, 19.52945327758789, 206.64297485351562
533, 1354.4281994700432, 1, 18.02544976099989, 194, 144381,                                             144381, 19.623510360717773, 202.83738708496094
534, 1683.4724211096764, 1, 23.18878089000009, 249, 144630,                                             144630, 20.208295822143555, 204.33448791503906
535, 1451.0326435267925, 1, 42.180369061999954, 455, 145085,                                             145085, 20.489206314086914, 203.71336364746094
536, 1862.5240004956722, 1, 35.262840891999986, 365, 145450,                                             145450, 20.265390396118164, 204.20535278320312
537, 1821.0444405972958, 1, 46.18560604300001, 480, 145930,                                             145930, 19.460065841674805, 203.02639770507812
538, 2223.501606196165, 1, 16.357029655999668, 161, 146091,                                             146091, 20.493900299072266, 202.78346252441406
539, 2247.6448344886303, 1, 17.698284104000322, 187, 146278,                                             146278, 20.880290985107422, 204.4459228515625
540, 1440.4675332605839, 1, 28.28948060899984, 298, 146576,                                             146576, 21.114181518554688, 202.9843292236328
541, 2085.8261056542397, 1, 19.098626315000274, 196, 146772,                                             146772, 20.66860580444336, 199.82742309570312
542, 2264.5610071122646, 1, 15.767341446000046, 165, 146937,                                             146937, 19.419363021850586, 200.6309356689453
543, 1679.8912582695484, 1, 46.2019827500003, 464, 147401,                                             147401, 20.205562591552734, 201.3789520263672
544, 1455.8552480638027, 1, 47.30643893600018, 498, 147899,                                             147899, 18.84844207763672, 198.7601776123047
545, 2041.1225151121616, 1, 19.789617886000087, 207, 148106,                                             148106, 20.716182708740234, 198.9385223388672
546, 1639.912322372198, 1, 16.98096438199991, 173, 148279,                                             148279, 18.5906982421875, 199.3319854736328
547, 1808.0409651398659, 1, 43.50179183, 466, 148745,                                             148745, 20.61356544494629, 200.28431701660156
548, -2484.763897895813, 3, 8.210839780000242, 86, 148831,                                             148831, 17.872140884399414, 199.16004943847656
549, 2192.5769241452217, 1, 21.788240590999976, 220, 149051,                                             149051, 19.608436584472656, 199.31837463378906
550, 1040.7273475527763, 1, 23.04390120800008, 244, 149295,                                             149295, 18.339630126953125, 199.3177032470703
551, 2178.8777547478676, 1, 18.224774232000073, 189, 149484,                                             149484, 19.506622314453125, 198.06109619140625
552, 1953.1363321244717, 1, 38.95947930400007, 401, 149885,                                             149885, 18.545801162719727, 196.30955505371094
553, 2163.3891118764877, 1, 21.23575038600029, 187, 150072,                                             150072, 21.001310348510742, 196.78770446777344
554, 2210.5716618299484, 1, 29.232054976999734, 243, 150315,                                             150315, 20.196687698364258, 197.9932098388672
555, 1640.291994303465, 1, 42.20917816000019, 407, 150722,                                             150722, 19.820987701416016, 195.94833374023438
556, 1918.3922460377216, 1, 45.451498421999986, 476, 151198,                                             151198, 19.990873336791992, 197.35374450683594
557, 1981.3105629384518, 1, 30.18195505099993, 305, 151503,                                             151503, 19.91083526611328, 194.7333526611328
558, 2211.3335522413254, 1, 19.014903346999745, 193, 151696,                                             151696, 18.645862579345703, 194.92747497558594
559, -2772.0827214717865, 2, 19.559255099999973, 217, 151913,                                             151913, 19.933942794799805, 196.3314971923828
560, 2286.354954779148, 1, 10.3800708509998, 102, 152015,                                             152015, 19.999404907226562, 195.6607666015625
561, 2353.162780702114, 1, 10.35341701599964, 111, 152126,                                             152126, 19.334964752197266, 192.66156005859375
