episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7601, -184.00447523593903, 5, 19.523915518002468, 28, 2459633,                                             41955, 52.589561462402344, 440.33135986328125
7602, 2062.6811385154724, 1, 55.1124042449992, 108, 2459741,                                             42063, 52.360382080078125, 439.7252502441406
7603, -2869.707066297531, 3, 142.37291543600077, 215, 2459956,                                             42278, 52.65265655517578, 439.0967712402344
7604, 2252.2576054930687, 1, 38.89332963400011, 56, 2460012,                                             42334, 52.55390167236328, 438.69384765625
7605, -433.7927130460739, 5, 59.77700894699956, 91, 2460103,                                             42425, 53.369083404541016, 440.9018859863281
7606, -2841.7733883857727, 2, 51.11174969200147, 78, 2460181,                                             42503, 51.3992805480957, 439.37384033203125
7607, 2257.4064237475395, 1, 38.330279302001145, 55, 2460236,                                             42558, 53.005306243896484, 439.629150390625
7608, -158.60786932706833, 5, 39.31290389900096, 56, 2460292,                                             42614, 52.97266387939453, 439.8977355957031
7609, 2378.4264498353004, 1, 23.428490846003115, 36, 2460328,                                             42650, 51.320228576660156, 438.3531494140625
7610, 2006.6505926847458, 1, 53.544894160000695, 80, 2460408,                                             42730, 52.57523727416992, 439.6178283691406
7611, 2336.7870250940323, 1, 43.099030837998725, 62, 2460470,                                             42792, 52.017513275146484, 439.2782897949219
7612, -317.2942097187042, 5, 59.52290524400087, 85, 2460555,                                             42877, 51.86714172363281, 440.4995422363281
7613, -2762.404396414757, 2, 66.032986041002, 96, 2460651,                                             42973, 52.56991958618164, 439.0508728027344
7614, 2046.8904830217361, 1, 78.01806608799961, 114, 2460765,                                             43087, 51.78295135498047, 440.39129638671875
7615, -3732.9137630462646, 3, 131.4574380060003, 201, 2460966,                                             43288, 52.81440353393555, 441.20513916015625
7616, 2194.664849370718, 1, 51.16099319299974, 95, 2461061,                                             43383, 54.64533233642578, 442.2602233886719
7617, 1909.7523294389248, 1, 79.06618622899987, 153, 2461214,                                             43536, 51.993221282958984, 442.0614929199219
7618, -1553.1075348854065, 5, 120.65832180399957, 234, 2461448,                                             43770, 52.9748420715332, 442.3214111328125
7619, -425.7184382081032, 5, 54.11001559700162, 105, 2461553,                                             43875, 50.75979995727539, 442.1709899902344
7620, -454.92120414972305, 5, 57.7938039949986, 113, 2461666,                                             43988, 51.45367431640625, 443.14459228515625
7621, -123.37002548575401, 5, 22.992399224996916, 43, 2461709,                                             44031, 53.60490036010742, 444.1229553222656
7622, 2370.729247391224, 1, 28.202752050998242, 56, 2461765,                                             44087, 54.24163055419922, 442.9836120605469
7623, -695.2053439617157, 5, 101.91196699899956, 199, 2461964,                                             44286, 51.65892028808594, 442.8993835449219
7624, -2341.5859176516533, 3, 35.26549705099751, 66, 2462030,                                             44352, 52.61456298828125, 443.4316711425781
7625, 2303.136318862438, 1, 26.448484086999088, 50, 2462080,                                             44402, 52.325340270996094, 442.4735412597656
7626, -343.7197900414467, 5, 40.224046734001604, 81, 2462161,                                             44483, 52.30593490600586, 443.2664489746094
7627, -280.78635880351067, 5, 56.135947007998766, 94, 2462255,                                             44577, 52.822715759277344, 443.1622619628906
7628, 2016.799021601677, 1, 77.57263721400159, 153, 2462408,                                             44730, 51.61964797973633, 443.4186706542969
7629, -4700.099945008755, 2, 211.3399496339989, 409, 2462817,                                             45139, 52.467857360839844, 444.0384216308594
7630, 2298.4565511345863, 1, 27.67986687300072, 51, 2462868,                                             45190, 51.15833282470703, 444.5675048828125
7631, 2260.5172978937626, 1, 39.216113392001716, 77, 2462945,                                             45267, 50.31998825073242, 445.167724609375
7632, -315.21546721458435, 5, 21.772291937002592, 43, 2462988,                                             45310, 52.063316345214844, 443.1871032714844
7633, 2356.573508679867, 1, 32.90419436600132, 51, 2463039,                                             45361, 52.49808120727539, 444.1724548339844
7634, -2468.5777468681335, 3, 23.728885134001757, 44, 2463083,                                             45405, 51.12331771850586, 445.0745849609375
7635, 1783.509850859642, 1, 71.21861599899785, 138, 2463221,                                             45543, 53.456146240234375, 445.71044921875
7636, 1940.8067601025105, 1, 68.36092849800116, 130, 2463351,                                             45673, 51.23698043823242, 444.6552734375
7637, -214.74127984046936, 5, 17.29727332300172, 34, 2463385,                                             45707, 51.946163177490234, 445.237060546875
7638, -115.13799661397934, 5, 28.26858444399477, 50, 2463435,                                             45757, 52.986568450927734, 446.3216552734375
7639, -2566.015285015106, 3, 39.81358157900104, 73, 2463508,                                             45830, 52.976593017578125, 445.5684814453125
7640, 1599.244932293892, 1, 120.01748280199536, 224, 2463732,                                             46054, 52.16386032104492, 445.4568786621094
7641, -2646.3141721487045, 3, 72.26328764500067, 120, 2463852,                                             46174, 52.23331069946289, 445.9132385253906
7642, 2169.7951768040657, 1, 34.14517971999885, 65, 2463917,                                             46239, 54.10219192504883, 445.5758361816406
7643, -302.6489277780056, 5, 43.55060209099611, 81, 2463998,                                             46320, 53.57884979248047, 446.51702880859375
7644, -113.69479370117188, 5, 30.595919218001654, 51, 2464049,                                             46371, 54.76204299926758, 446.0533752441406
7645, -328.3552856743336, 5, 58.01593051200325, 108, 2464157,                                             46479, 52.29723358154297, 446.97564697265625
7646, -341.9333270788193, 5, 47.35347717499826, 88, 2464245,                                             46567, 52.146461486816406, 446.0311584472656
7647, -225.69678470492363, 5, 42.49824796200119, 81, 2464326,                                             46648, 52.47629165649414, 445.96966552734375
7648, 2169.618154644966, 1, 30.340639376998297, 59, 2464385,                                             46707, 51.16687774658203, 445.939453125
7649, 2099.8706532120705, 1, 55.53826709200075, 116, 2464501,                                             46823, 51.92100524902344, 447.0913391113281
7650, -2712.979102373123, 2, 53.74717325800157, 101, 2464602,                                             46924, 53.254417419433594, 445.7104797363281
7651, 2154.7815856933594, 1, 41.5102980369993, 70, 2464672,                                             46994, 53.60063552856445, 447.2086181640625
7652, -324.02899274230003, 5, 50.36127829799807, 92, 2464764,                                             47086, 54.036216735839844, 446.3097839355469
7653, -4003.423086941242, 2, 78.54933020899625, 158, 2464922,                                             47244, 53.13136672973633, 446.6541748046875
7654, -334.51788607239723, 5, 53.07892270800221, 107, 2465029,                                             47351, 54.077537536621094, 447.43511962890625
7655, 2120.525664806366, 1, 34.301464987001964, 67, 2465096,                                             47418, 53.89849090576172, 447.37579345703125
7656, -693.8552428483963, 5, 65.5292079629944, 125, 2465221,                                             47543, 53.79872131347656, 446.95037841796875
7657, -352.9227731227875, 5, 39.74920214099984, 74, 2465295,                                             47617, 52.716270446777344, 445.90350341796875
7658, -794.9090913534164, 5, 67.9595107310015, 131, 2465426,                                             47748, 52.75040817260742, 446.7569885253906
7659, 1749.0090143680573, 1, 99.02481011100463, 174, 2465600,                                             47922, 52.6445198059082, 447.7223815917969
7660, -735.1303415298462, 5, 109.53255286200147, 207, 2465807,                                             48129, 53.07391357421875, 447.4057922363281
7661, -2380.5333590507507, 2, 25.87442114100122, 50, 2465857,                                             48179, 52.34849548339844, 446.9729309082031
7662, 2427.9036911726, 1, 15.481591395000578, 30, 2465887,                                             48209, 52.931236267089844, 446.6669921875
